sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_000007645.1_ASM764v1_genomic_AbiJ_2	AbiJ	AbiJ	AE015929.1_41	AE015929.1_41	AE015929.1_41	1	AbiJ__AbiJ
GCA_000007645.1_ASM764v1_genomic_Abi2_1	Abi2	Abi2	AE015929.1_2216	AE015929.1_2216	AE015929.1_2216	1	Abi2__Abi_2
sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_000009005.1_ASM900v1_genomic_Abi2_1	Abi2	Abi2	AJ938182.1_328	AJ938182.1_328	AJ938182.1_328	1	Abi2__Abi_2
GCA_000009005.1_ASM900v1_genomic_RosmerTA_3	RosmerTA	RosmerTA	AJ938182.1_91	AJ938182.1_92	AJ938182.1_91,AJ938182.1_92	2	RosmerTA__RmrT_2603008502,RosmerTA__RmrA_2603008502
GCA_000009005.1_ASM900v1_genomic_RM_Type_II_4	RM	RM_Type_II	AJ938182.1_2370	AJ938182.1_2371	AJ938182.1_2370,AJ938182.1_2371	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
GCA_000009005.1_ASM900v1_genomic_PD-Lambda-1_2	PD-Lambda-1	PD-Lambda-1	AJ938182.1_1710	AJ938182.1_1710	AJ938182.1_1710	1	PD-Lambda-1__PD-Lambda-1
sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_000009405.1_ASM940v1_genomic_Bunzi_1	Bunzi	Bunzi	AM295250.1_2327	AM295250.1_2328	AM295250.1_2327,AM295250.1_2328	2	Bunzi__BnzB,Bunzi__BnzA
sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_000009585.1_ASM958v1_genomic_RloC_1	RloC	RloC	AM990992.1_89	AM990992.1_89	AM990992.1_89	1	RloC__RloC
GCA_000009585.1_ASM958v1_genomic_RosmerTA_4	RosmerTA	RosmerTA	AM990992.1_162	AM990992.1_163	AM990992.1_162,AM990992.1_163	2	RosmerTA__RmrT_2603008502,RosmerTA__RmrA_2603008502
GCA_000009585.1_ASM958v1_genomic_Thoeris_I_3	Thoeris	Thoeris_I	AM990992.1_2124	AM990992.1_2126	AM990992.1_2124,AM990992.1_2125,AM990992.1_2126	3	Thoeris__ThsB_Global,Thoeris__ThsB_Global,Thoeris_I__ThsA_new_grand
