sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_000189495.1_ASM18949v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP002478.1_593	CP002478.1_596	CP002478.1_593,CP002478.1_594,CP002478.1_595,CP002478.1_596	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_000494875.1_ASM49487v1_genomic_CAS_Class2-Subtype-II-A_3	CasFinder	CAS_Class2-Subtype-II-A	CP004014.1_1321	CP004014.1_1324	CP004014.1_1321,CP004014.1_1322,CP004014.1_1323,CP004014.1_1324	4	csn2_II-A_10,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_1
GCA_000816085.1_ASM81608v1_genomic_CAS_Class2-Subtype-II-A_2	CasFinder	CAS_Class2-Subtype-II-A	CP008747.1_189	CP008747.1_192	CP008747.1_189,CP008747.1_190,CP008747.1_191,CP008747.1_192	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_10
GCA_001442815.3_ASM144281v3_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP009623.1_1813	CP009623.1_1816	CP009623.1_1813,CP009623.1_1814,CP009623.1_1815,CP009623.1_1816	4	csn2_II-A_10,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_1
GCA_001559115.2_ASM155911v2_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP014016.2_1146	CP014016.2_1150	CP014016.2_1146,CP014016.2_1147,CP014016.2_1148,CP014016.2_1150	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_001559115.2_ASM155911v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP014016.2_2392	CP014016.2_2395	CP014016.2_2392,CP014016.2_2393,CP014016.2_2394,CP014016.2_2395	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_002101335.1_ASM210133v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP020773.1_553	CP020773.1_556	CP020773.1_553,CP020773.1_554,CP020773.1_555,CP020773.1_556	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_002101335.1_ASM210133v1_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP020773.1_1358	CP020773.1_1361	CP020773.1_1358,CP020773.1_1359,CP020773.1_1360,CP020773.1_1361	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_10
GCA_002215535.1_ASM221553v1_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP022247.1_1829	CP022247.1_1832	CP022247.1_1829,CP022247.1_1830,CP022247.1_1831,CP022247.1_1832	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_002386185.1_ASM238618v1_genomic_CAS_Class2-Subtype-II-A_8	CasFinder	CAS_Class2-Subtype-II-A	CP023497.1_733	CP023497.1_736	CP023497.1_733,CP023497.1_734,CP023497.1_735,CP023497.1_736	4	csn2_II-A_10,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_1
GCA_002386185.1_ASM238618v1_genomic_CAS_Class2-Subtype-II-A_9	CasFinder	CAS_Class2-Subtype-II-A	CP023497.1_2046	CP023497.1_2049	CP023497.1_2046,CP023497.1_2047,CP023497.1_2048,CP023497.1_2049	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_13
GCA_003006055.1_ASM300605v1_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP017428.1_409	CP017428.1_412	CP017428.1_409,CP017428.1_410,CP017428.1_411,CP017428.1_412	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_003006055.1_ASM300605v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP017428.1_1726	CP017428.1_1729	CP017428.1_1726,CP017428.1_1727,CP017428.1_1728,CP017428.1_1729	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_003006075.1_ASM300607v1_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP017430.1_409	CP017430.1_412	CP017430.1_409,CP017430.1_410,CP017430.1_411,CP017430.1_412	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_003006075.1_ASM300607v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP017430.1_1721	CP017430.1_1724	CP017430.1_1721,CP017430.1_1722,CP017430.1_1723,CP017430.1_1724	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_003012915.1_ASM301291v1_genomic_CAS_Class2-Subtype-II-A_3	CasFinder	CAS_Class2-Subtype-II-A	CP027770.1_116	CP027770.1_117	CP027770.1_116,CP027770.1_117	2	csn2_II-A_13,cas2_I_II_III_IV_V_VI_11
GCA_003012915.1_ASM301291v1_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP027770.1_161	CP027770.1_162	CP027770.1_161,CP027770.1_162	2	csn2_II-A_13,cas2_I_II_III_IV_V_VI_11
GCA_003012915.1_ASM301291v1_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP027770.1_1215	CP027770.1_1216	CP027770.1_1215,CP027770.1_1216	2	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5
GCA_003076375.1_ASM307637v1_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP016157.1_410	CP016157.1_413	CP016157.1_410,CP016157.1_411,CP016157.1_412,CP016157.1_413	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_003076375.1_ASM307637v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP016157.1_1729	CP016157.1_1732	CP016157.1_1729,CP016157.1_1730,CP016157.1_1731,CP016157.1_1732	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_003096155.1_ASM309615v1_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP015642.1_409	CP015642.1_412	CP015642.1_409,CP015642.1_410,CP015642.1_411,CP015642.1_412	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_003096155.1_ASM309615v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP015642.1_1707	CP015642.1_1710	CP015642.1_1707,CP015642.1_1708,CP015642.1_1709,CP015642.1_1710	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_003491325.1_ASM349132v1_genomic_CAS_Class2-Subtype-II-A_3	CasFinder	CAS_Class2-Subtype-II-A	CP022881.1_89	CP022881.1_92	CP022881.1_89,CP022881.1_90,CP022881.1_91,CP022881.1_92	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_003571725.1_ASM357172v1_genomic_CAS_Class2-Subtype-II-A_2	CasFinder	CAS_Class2-Subtype-II-A	CP032159.1_91	CP032159.1_94	CP032159.1_91,CP032159.1_92,CP032159.1_93,CP032159.1_94	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,csn2_II-A_10
GCA_004001305.1_ASM400130v1_genomic_CAS_Class2-Subtype-II-A_3	CasFinder	CAS_Class2-Subtype-II-A	AP019372.1_573	AP019372.1_576	AP019372.1_573,AP019372.1_574,AP019372.1_575,AP019372.1_576	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_007814015.1_ASM781401v1_genomic_CAS_Class2-Subtype-II-A_3	CasFinder	CAS_Class2-Subtype-II-A	CP031266.1_187	CP031266.1_191	CP031266.1_187,CP031266.1_188,CP031266.1_189,CP031266.1_191	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_10
GCA_007814525.1_ASM781452v1_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP031274.1_138	CP031274.1_141	CP031274.1_138,CP031274.1_139,CP031274.1_140,CP031274.1_141	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_10
GCA_007833695.1_ASM783369v1_genomic_CAS_Class2-Subtype-II-A_9	CasFinder	CAS_Class2-Subtype-II-A	CP031605.1_860	CP031605.1_863	CP031605.1_860,CP031605.1_861,CP031605.1_862,CP031605.1_863	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_007833735.1_ASM783373v1_genomic_CAS_Class2-Subtype-II-A_8	CasFinder	CAS_Class2-Subtype-II-A	CP031603.1_1654	CP031603.1_1657	CP031603.1_1654,CP031603.1_1655,CP031603.1_1656,CP031603.1_1657	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_010365305.1_ASM1036530v1_genomic_CAS_Class2-Subtype-II-A_10	CasFinder	CAS_Class2-Subtype-II-A	CP048279.1_1880	CP048279.1_1883	CP048279.1_1880,CP048279.1_1881,CP048279.1_1882,CP048279.1_1883	4	csn2_II-A_13,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_011466855.1_ASM1146685v1_genomic_CAS_Class2-Subtype-II-A_2	CasFinder	CAS_Class2-Subtype-II-A	CP045927.1_2199	CP045927.1_2203	CP045927.1_2199,CP045927.1_2200,CP045927.1_2201,CP045927.1_2203	4	csn2_II-A_10,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_1
GCA_011466875.1_ASM1146687v1_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP046028.1_156	CP046028.1_159	CP046028.1_156,CP046028.1_157,CP046028.1_158,CP046028.1_159	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_10
GCA_013137955.1_ASM1313795v1_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP053477.1_310	CP053477.1_313	CP053477.1_310,CP053477.1_311,CP053477.1_312,CP053477.1_313	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_10
GCA_014495745.1_ASM1449574v1_genomic_CAS_Class2-Subtype-II-A_2	CasFinder	CAS_Class2-Subtype-II-A	CP061041.1_1256	CP061041.1_1259	CP061041.1_1256,CP061041.1_1257,CP061041.1_1258,CP061041.1_1259	4	csn2_II-A_10,cas2_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_1
GCA_016028295.1_ASM1602829v1_genomic_CAS_Class2-Subtype-II-C_5	CasFinder	CAS_Class2-Subtype-II-C	CP065712.1_174	CP065712.1_177	CP065712.1_174,CP065712.1_175,CP065712.1_176,CP065712.1_177	4	cas9_II-A_II-B_II-C_1,cas9_II-A_II-B_II-C_3,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11
GCA_016126695.1_ASM1612669v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP065919.1_587	CP065919.1_590	CP065919.1_587,CP065919.1_588,CP065919.1_589,CP065919.1_590	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016126715.1_ASM1612671v1_genomic_CAS_Class2-Subtype-II-A_10	CasFinder	CAS_Class2-Subtype-II-A	CP065921.1_600	CP065921.1_603	CP065921.1_600,CP065921.1_601,CP065921.1_602,CP065921.1_603	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016126735.1_ASM1612673v1_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP065924.1_641	CP065924.1_644	CP065924.1_641,CP065924.1_642,CP065924.1_643,CP065924.1_644	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016127055.1_ASM1612705v1_genomic_CAS_Class2-Subtype-II-A_3	CasFinder	CAS_Class2-Subtype-II-A	CP065980.1_92	CP065980.1_93	CP065980.1_92,CP065980.1_93	2	cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
GCA_016127055.1_ASM1612705v1_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP065980.1_1146	CP065980.1_1147	CP065980.1_1146,CP065980.1_1147	2	cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016127055.1_ASM1612705v1_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP065980.1_1191	CP065980.1_1192	CP065980.1_1191,CP065980.1_1192	2	cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016454965.1_ASM1645496v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP066702.1_585	CP066702.1_588	CP066702.1_585,CP066702.1_586,CP066702.1_587,CP066702.1_588	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016454985.1_ASM1645498v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP066703.1_584	CP066703.1_587	CP066703.1_584,CP066703.1_585,CP066703.1_586,CP066703.1_587	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016455005.1_ASM1645500v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP066709.1_580	CP066709.1_583	CP066709.1_580,CP066709.1_581,CP066709.1_582,CP066709.1_583	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016455025.1_ASM1645502v1_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP066710.1_623	CP066710.1_626	CP066710.1_623,CP066710.1_624,CP066710.1_625,CP066710.1_626	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016455065.1_ASM1645506v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP066705.1_588	CP066705.1_591	CP066705.1_588,CP066705.1_589,CP066705.1_590,CP066705.1_591	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
