genome_accession	query	uniprot	refseq	evalue	target
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VPR4	NP_477294	8.310000000000001e-30	AF-Q9VPR4-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q95RJ9	NP_477329	1.623e-27	AF-Q95RJ9-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9V3J8	NP_001245503	5.713e-27	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9V3J8	NP_524984	5.713e-27	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VU65	NP_648640	8.016e-27	AF-Q9VU65-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q7KNS3	NP_001246361	1.0210000000000002e-26	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q7KNS3	NP_477160	1.0210000000000002e-26	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q7KNS3	NP_788370	1.0210000000000002e-26	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q7KNS3	NP_995852	1.0210000000000002e-26	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P26308	NP_001303567	6.244000000000001e-25	AF-P26308-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P26308	NP_525090	6.244000000000001e-25	AF-P26308-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P26308	NP_996459	6.244000000000001e-25	AF-P26308-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P26308	NP_996460	6.244000000000001e-25	AF-P26308-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P26308	NP_996461	6.244000000000001e-25	AF-P26308-F1-model_v6
