query,target,evalue,lddt,pdb_id,chain,SCIENTIFIC_NAME
rank0001_ca6_proteinbinders_3013_A,3ng3-assembly1_D,8.706e-05,0.4111,3ng3,D,Mycobacterium avium 104
rank0001_ca6_proteinbinders_3013_A,3ng3-assembly1_C,5.397e-05,0.4078,3ng3,C,Mycobacterium avium 104
rank0001_ca6_proteinbinders_3013_A,8ssc-assembly1_A,4.002e-05,0.3932,8ssc,A,Thermus thermophilus HB8
rank0001_ca6_proteinbinders_3013_A,1o5q-assembly1_B,1.733e-05,0.3817,1o5q,B,Salmonella enterica subsp. enterica serovar Typhimurium
rank0001_ca6_proteinbinders_3013_A,4xq6-assembly1_A,0.001208,0.3713,4xq6,A,Mycobacterium tuberculosis H37Ra
rank0001_ca6_proteinbinders_3013_A,1mzh-assembly1_B,0.0045,0.3695,1mzh,B,Aquifex aeolicus
rank0001_ca6_proteinbinders_3013_A,4ot7-assembly1_A,0.01401,0.3688,4ot7,A,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
rank0001_ca6_proteinbinders_3013_A,4u9p-assembly1_A,0.000168,0.3654,4u9p,A,Methanocaldococcus jannaschii DSM 2661
rank0001_ca6_proteinbinders_3013_A,1p0k-assembly1_B,2.074e-05,0.363,1p0k,B,Bacillus subtilis
rank0001_ca6_proteinbinders_3013_A,7cj8-assembly2_D,0.0006259,0.3615,7cj8,D,Methylomonas sp. DH-1
rank0001_ca6_proteinbinders_3013_A,2boe-assembly1_X,0.1944,0.3606,2boe,X,Thermobifida fusca
rank0001_ca6_proteinbinders_3013_A,7ero-assembly1_D,1.365e-05,0.3588,7ero,D,Agrobacterium sp. SUL3
rank0001_ca6_proteinbinders_3013_A,1p0n-assembly1_B,1.249e-06,0.3584,1p0n,B,Bacillus subtilis
rank0001_ca6_proteinbinders_3013_A,6msw-assembly2_B,0.0003055,0.3581,6msw,B,Halalkalibacterium halodurans C-125
rank0001_ca6_proteinbinders_3013_A,4kru-assembly1_A,0.002475,0.358,4kru,A,Clostridium phage phiSM101
