query,target,fident,alnlen,qcov,tcov,evalue,bits,uniprot
rank00009_coA_proteinbinders_4625_A,AF-B1WQQ4-F1-model_v6,0.174,244,0.894,0.423,1.921e-06,163,B1WQQ4
rank00009_coA_proteinbinders_4625_A,AF-B0JGK2-F1-model_v6,0.151,243,0.89,0.426,2.709e-06,162,B0JGK2
rank00009_coA_proteinbinders_4625_A,AF-A4SEP8-F1-model_v6,0.146,272,0.996,0.967,2.281e-06,161,A4SEP8
rank00009_coA_proteinbinders_4625_A,AF-Q3MBA3-F1-model_v6,0.168,248,0.908,0.429,6.036e-06,155,Q3MBA3
rank00009_coA_proteinbinders_4625_A,AF-P94907-F1-model_v6,0.173,243,0.89,0.426,9.541e-06,151,P94907
rank00009_coA_proteinbinders_4625_A,AF-O06745-F1-model_v6,0.15,268,0.949,0.438,4.864e-07,149,O06745
rank00009_coA_proteinbinders_4625_A,AF-B1XLQ9-F1-model_v6,0.157,244,0.894,0.426,8.036e-06,147,B1XLQ9
rank00009_coA_proteinbinders_4625_A,AF-O58878-F1-model_v6,0.151,270,0.989,0.957,6.391e-06,143,O58878
rank00009_coA_proteinbinders_4625_A,AF-A8M9N4-F1-model_v6,0.164,268,0.982,0.971,8.509e-06,132,A8M9N4
rank00009_coA_proteinbinders_4625_A,AF-B1XGU9-F1-model_v6,0.106,268,0.982,0.885,6.768e-06,127,B1XGU9
rank00009_coA_proteinbinders_4625_A,AF-B1LFP2-F1-model_v6,0.107,268,0.982,0.885,6.036e-06,127,B1LFP2
rank00009_coA_proteinbinders_4625_A,AF-B7NDC5-F1-model_v6,0.11,268,0.982,0.885,4.281e-06,127,B7NDC5
rank00009_coA_proteinbinders_4625_A,AF-O26244-F1-model_v6,0.154,263,0.963,0.987,4.281e-06,117,O26244
rank00009_coA_proteinbinders_4625_A,AF-Q8CNI3-F1-model_v6,0.146,265,0.971,0.895,6.036e-06,105,Q8CNI3
rank00009_coA_proteinbinders_4625_A,AF-Q5HM97-F1-model_v6,0.135,267,0.978,0.892,5.383e-06,104,Q5HM97
rank00010_coA_proteinbinders_4625_A,AF-B1WQQ4-F1-model_v6,0.174,244,0.894,0.423,1.921e-06,163,B1WQQ4
rank00010_coA_proteinbinders_4625_A,AF-B0JGK2-F1-model_v6,0.151,243,0.89,0.426,2.709e-06,162,B0JGK2
rank00010_coA_proteinbinders_4625_A,AF-A4SEP8-F1-model_v6,0.146,272,0.996,0.967,2.281e-06,161,A4SEP8
rank00010_coA_proteinbinders_4625_A,AF-Q3MBA3-F1-model_v6,0.168,248,0.908,0.429,6.036e-06,155,Q3MBA3
rank00010_coA_proteinbinders_4625_A,AF-P94907-F1-model_v6,0.173,243,0.89,0.426,9.541e-06,151,P94907
rank00010_coA_proteinbinders_4625_A,AF-O06745-F1-model_v6,0.15,268,0.949,0.438,4.864e-07,149,O06745
rank00010_coA_proteinbinders_4625_A,AF-B1XLQ9-F1-model_v6,0.157,244,0.894,0.426,8.036e-06,147,B1XLQ9
rank00010_coA_proteinbinders_4625_A,AF-O58878-F1-model_v6,0.151,270,0.989,0.957,6.391e-06,143,O58878
rank00010_coA_proteinbinders_4625_A,AF-A8M9N4-F1-model_v6,0.164,268,0.982,0.971,8.509e-06,132,A8M9N4
rank00010_coA_proteinbinders_4625_A,AF-B1XGU9-F1-model_v6,0.106,268,0.982,0.885,6.768e-06,127,B1XGU9
rank00010_coA_proteinbinders_4625_A,AF-B1LFP2-F1-model_v6,0.107,268,0.982,0.885,6.036e-06,127,B1LFP2
rank00010_coA_proteinbinders_4625_A,AF-B7NDC5-F1-model_v6,0.11,268,0.982,0.885,4.281e-06,127,B7NDC5
rank00010_coA_proteinbinders_4625_A,AF-O26244-F1-model_v6,0.154,263,0.963,0.987,4.281e-06,117,O26244
rank00010_coA_proteinbinders_4625_A,AF-Q8CNI3-F1-model_v6,0.146,265,0.971,0.895,6.036e-06,105,Q8CNI3
rank00010_coA_proteinbinders_4625_A,AF-Q5HM97-F1-model_v6,0.135,267,0.978,0.892,5.383e-06,104,Q5HM97
rank00015_coA_proteinbinders_3420_A,AF-P42522-F1-model_v6,0.357,56,0.966,0.047,7.222e-06,296,P42522
rank00015_coA_proteinbinders_3420_A,AF-P06241-3-F1-model_v6,0.438,57,0.983,0.118,4.258e-06,290,P06241-3
rank00015_coA_proteinbinders_3420_A,AF-Q05876-F1-model_v6,0.438,57,0.983,0.107,5.385e-06,288,Q05876
rank00015_coA_proteinbinders_3420_A,AF-P09324-F1-model_v6,0.425,54,0.931,0.1,6.422e-06,284,P09324
rank00015_coA_proteinbinders_3420_A,AF-P13115-F1-model_v6,0.462,54,0.931,0.102,9.686e-06,282,P13115
rank00015_coA_proteinbinders_3420_A,AF-Q6EWH2-F1-model_v6,0.456,57,0.983,0.106,8.122e-06,282,Q6EWH2
rank00015_coA_proteinbinders_3420_A,AF-P39688-2-F1-model_v6,0.438,57,0.983,0.107,9.134e-06,281,P39688-2
rank00015_coA_proteinbinders_3420_A,AF-P06241-F1-model_v6,0.438,57,0.983,0.106,9.134e-06,281,P06241
rank00015_coA_proteinbinders_3420_A,AF-P13406-F1-model_v6,0.438,57,0.983,0.106,8.613e-06,281,P13406
rank00015_coA_proteinbinders_3420_A,AF-A1Y2K1-F1-model_v6,0.438,57,0.983,0.106,9.134e-06,281,A1Y2K1
rank00015_coA_proteinbinders_3420_A,AF-P27446-F1-model_v6,0.438,57,0.983,0.106,9.134e-06,280,P27446
rank00015_coA_proteinbinders_3420_A,AF-P09769-F1-model_v6,0.438,57,0.983,0.108,9.686e-06,279,P09769
rank00015_coA_proteinbinders_3420_A,AF-Q04736-F1-model_v6,0.407,54,0.931,0.1,9.686e-06,276,Q04736
rank00020_coA_proteinbinders_2077_A,AF-Q09822-F1-model_v6,0.423,59,0.922,0.064,4.064e-06,283,Q09822
rank00026_coA_proteinbinders_0466_A,AF-A4SEP8-F1-model_v6,0.166,263,0.981,0.981,1.725e-07,187,A4SEP8
rank00026_coA_proteinbinders_0466_A,AF-B8I3J4-F1-model_v6,0.177,259,0.966,0.967,4.171e-07,186,B8I3J4
rank00026_coA_proteinbinders_0466_A,AF-Q254D2-F1-model_v6,0.12,259,0.948,0.427,7.653e-07,181,Q254D2
rank00026_coA_proteinbinders_0466_A,AF-A5ULP4-F1-model_v6,0.123,265,0.989,0.981,1.009e-06,180,A5ULP4
rank00026_coA_proteinbinders_0466_A,AF-Q24XQ0-F1-model_v6,0.145,259,0.966,0.986,8.088e-07,176,Q24XQ0
